iter	Passed	Remaining
0	1	135
1	2	123
2	3	116
3	4	111
4	5	111
5	6	109
6	8	106
7	9	104
8	10	103
9	11	101
10	12	99
11	13	97
12	14	96
13	15	95
14	16	94
15	17	92
16	18	91
17	20	91
18	21	90
19	22	89
20	23	87
21	24	86
22	25	86
23	26	84
24	27	83
25	29	82
26	30	81
27	31	80
28	32	79
29	33	78
30	34	77
31	35	76
32	37	75
33	38	73
34	39	72
35	40	71
36	41	70
37	42	69
38	43	68
39	44	67
40	45	66
41	46	64
42	48	63
43	49	62
44	50	61
45	51	60
46	52	59
47	53	58
48	54	56
49	55	55
50	56	54
51	57	53
52	58	52
53	60	51
54	60	49
55	62	48
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	68	42
62	70	41
63	71	40
64	72	38
65	73	37
66	74	36
67	75	35
68	76	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	29
74	83	27
75	84	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	19
83	93	17
84	94	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
