iter	Passed	Remaining
0	126	126345
1	128	64052
2	129	43163
3	131	32681
4	132	26382
5	133	22181
6	135	19182
7	136	16913
8	137	15165
9	138	13749
10	140	12616
11	141	11653
12	142	10813
13	143	10105
14	144	9489
15	145	8946
16	146	8469
17	147	8043
18	148	7654
19	149	7305
20	150	6997
21	150	6705
22	151	6437
23	152	6190
24	152	5964
25	153	5766
26	154	5578
27	155	5401
28	156	5236
29	157	5082
30	158	4940
31	158	4803
32	159	4671
33	160	4547
34	160	4429
35	161	4318
36	161	4213
37	162	4113
38	163	4019
39	163	3929
40	164	3844
41	165	3766
42	165	3691
43	166	3619
44	167	3549
45	168	3504
46	169	3444
47	170	3383
48	171	3325
49	172	3270
50	172	3216
51	173	3163
52	174	3113
53	174	3063
54	175	3016
55	176	2970
56	176	2926
57	177	2884
58	178	2843
59	178	2803
60	179	2765
61	180	2729
62	181	2692
63	181	2658
64	183	2633
65	184	2605
66	184	2574
67	185	2544
68	187	2524
69	187	2495
70	188	2466
71	189	2438
72	189	2411
73	190	2385
74	191	2360
75	192	2336
76	192	2312
77	193	2288
78	194	2265
79	195	2242
80	195	2220
81	196	2198
82	196	2174
83	198	2165
84	199	2151
85	200	2132
86	201	2114
87	202	2096
88	203	2078
89	203	2060
90	204	2043
91	205	2026
92	206	2009
93	206	1992
94	207	1976
95	208	1960
96	208	1944
97	209	1929
98	210	1913
99	210	1898
100	211	1884
101	214	1885
102	215	1872
103	215	1859
104	216	1845
105	217	1832
106	218	1819
107	218	1806
108	219	1793
109	220	1781
110	220	1769
111	221	1756
112	222	1744
113	222	1733
114	223	1721
115	224	1709
116	224	1697
117	225	1686
118	226	1676
119	227	1668
120	229	1669
121	230	1658
122	231	1648
123	232	1639
124	232	1630
125	233	1620
126	234	1610
127	235	1601
128	235	1592
129	236	1583
130	237	1574
131	238	1565
132	238	1556
133	239	1548
134	240	1540
135	241	1531
136	241	1522
137	243	1519
138	244	1515
139	245	1507
140	246	1499
141	246	1490
142	247	1482
143	248	1475
144	248	1467
145	249	1460
146	250	1453
147	251	1446
148	252	1439
149	252	1432
150	253	1425
151	254	1419
152	255	1412
153	255	1405
154	256	1398
155	257	1394
156	258	1390
157	259	1383
158	260	1377
159	261	1370
160	261	1362
161	262	1356
162	262	1349
163	263	1343
164	264	1337
165	264	1331
166	265	1324
167	266	1318
168	266	1312
169	267	1306
170	268	1300
171	268	1294
172	269	1289
173	270	1283
174	271	1278
175	272	1276
176	273	1273
177	274	1268
178	275	1263
179	276	1257
180	276	1252
181	277	1247
182	278	1242
183	279	1237
184	279	1232
185	280	1227
186	281	1222
187	281	1217
188	282	1212
189	283	1208
190	284	1203
191	284	1198
192	285	1194
193	286	1189
194	287	1186
195	288	1184
196	289	1180
197	290	1176
198	291	1171
199	291	1167
200	292	1162
201	293	1158
202	293	1153
203	294	1149
204	295	1144
205	295	1140
206	296	1136
207	297	1131
208	297	1127
209	298	1123
210	299	1119
211	300	1115
212	300	1111
213	301	1108
214	303	1108
215	304	1104
216	305	1100
217	305	1096
218	306	1092
219	307	1088
220	307	1084
221	308	1081
222	309	1077
223	309	1073
224	310	1069
225	311	1065
226	311	1061
227	312	1058
228	313	1055
229	314	1052
230	314	1048
231	315	1044
232	316	1042
233	317	1039
234	318	1037
235	319	1034
236	320	1030
237	320	1027
238	321	1023
239	322	1019
240	322	1016
241	323	1012
242	324	1009
243	324	1005
244	325	1002
245	325	998
246	326	995
247	327	991
248	327	988
249	328	985
250	329	982
251	329	978
252	330	975
253	330	971
254	331	969
255	332	967
256	333	965
257	335	963
258	335	960
259	336	957
260	337	954
261	337	951
262	338	948
263	339	945
264	339	942
265	340	939
266	341	936
267	341	933
268	342	930
269	342	927
270	343	924
271	344	923
272	345	920
273	346	917
274	346	914
275	347	911
276	348	909
277	348	906
278	349	903
279	350	900
280	350	897
281	351	895
282	352	892
283	352	889
284	353	886
285	354	883
286	354	881
287	355	878
288	355	875
289	356	873
290	357	870
291	357	867
292	358	865
293	359	863
294	360	861
295	361	859
296	361	856
297	362	853
298	363	851
299	363	848
300	364	846
301	365	843
302	365	841
303	366	838
304	366	836
305	367	833
306	368	830
307	368	828
308	369	826
309	369	823
310	370	821
311	371	818
312	371	816
313	372	813
314	373	812
315	374	811
316	375	809
317	376	807
318	377	805
319	377	803
320	378	800
321	379	798
322	380	796
323	380	794
324	381	792
325	382	790
326	383	788
327	383	786
328	384	784
329	385	781
330	385	779
331	386	777
332	387	775
333	387	773
334	388	771
335	389	769
336	390	767
337	390	765
338	391	763
339	392	761
340	392	759
341	393	757
342	394	755
343	394	752
344	395	750
345	396	748
346	396	746
347	397	744
348	397	742
349	398	740
350	399	738
351	399	736
352	400	733
353	401	731
354	401	730
355	402	728
356	403	726
357	403	724
358	404	722
359	405	720
360	406	718
361	406	716
362	407	714
363	408	713
364	408	711
365	409	709
366	410	707
367	410	705
368	411	703
369	411	701
370	412	699
371	413	697
372	413	695
373	414	693
374	415	691
375	415	690
376	416	688
377	417	686
378	417	684
379	418	682
380	419	681
381	420	679
382	420	678
383	421	676
384	422	674
385	422	672
386	423	670
387	424	669
388	424	667
389	425	665
390	426	663
391	426	661
392	427	659
393	427	658
394	428	656
395	429	654
396	430	653
397	430	651
398	431	649
399	431	647
400	432	646
401	433	644
402	433	642
403	435	641
404	435	640
405	436	638
406	437	636
407	437	635
408	438	633
409	439	631
410	439	630
411	440	628
412	440	626
413	441	625
414	442	623
415	442	621
416	443	620
417	444	618
418	444	616
419	445	615
420	445	613
421	446	611
422	447	609
423	447	608
424	448	606
425	449	605
426	450	604
427	450	602
428	451	601
429	452	599
430	452	597
431	453	596
432	454	594
433	454	593
434	455	591
435	456	589
436	456	588
437	457	586
438	457	585
439	458	583
440	459	581
441	459	580
442	460	578
443	460	577
444	461	575
445	462	574
446	462	572
447	463	571
448	464	570
449	465	568
450	466	567
451	466	565
452	467	564
453	467	562
454	468	561
455	469	559
456	469	558
457	470	556
458	471	555
459	471	553
460	472	552
461	472	550
462	473	549
463	474	547
464	474	546
465	475	544
466	476	543
467	476	541
468	477	540
469	478	539
470	479	538
471	480	537
472	480	535
473	481	534
474	482	533
475	482	531
476	483	530
477	484	529
478	485	527
479	486	526
480	486	525
481	487	523
482	488	522
483	488	521
484	489	519
485	490	518
486	491	517
487	492	516
488	493	515
489	493	513
490	494	513
491	495	511
492	496	510
493	497	509
494	497	507
495	498	506
496	499	505
497	500	504
498	500	502
499	501	501
500	501	499
501	502	498
502	503	497
503	504	496
504	504	494
505	505	493
506	506	492
507	507	491
508	507	489
509	508	488
510	509	487
511	510	486
512	511	485
513	511	483
514	512	482
515	513	481
516	513	479
517	514	478
518	515	477
519	515	476
520	516	474
521	517	473
522	517	472
523	518	470
524	518	469
525	519	468
526	520	467
527	521	466
528	522	464
529	522	463
530	523	462
531	524	461
532	525	460
533	526	459
534	527	458
535	528	457
536	529	456
537	530	455
538	531	454
539	531	452
540	532	451
541	532	450
542	533	449
543	534	447
544	534	446
545	535	445
546	536	444
547	536	442
548	537	441
549	538	440
550	538	438
551	539	438
552	540	436
553	541	435
554	541	434
555	542	433
556	543	432
557	544	430
558	544	429
559	545	428
560	545	427
561	546	425
562	547	424
563	547	423
564	548	422
565	549	421
566	549	419
567	550	418
568	550	417
569	551	416
570	552	414
571	552	413
572	553	412
573	554	411
574	555	410
575	556	409
576	556	408
577	557	407
578	558	405
579	558	404
580	559	403
581	560	402
582	560	401
583	561	399
584	562	398
585	562	397
586	563	396
587	563	395
588	564	393
589	565	392
590	565	391
591	566	390
592	567	389
593	567	388
594	568	386
595	569	386
596	570	385
597	570	383
598	571	382
599	572	381
600	572	380
601	573	379
602	574	377
603	574	376
604	575	375
605	575	374
606	576	373
607	577	372
608	577	370
609	578	369
610	579	368
611	579	367
612	580	366
613	580	365
614	581	364
615	582	363
616	583	362
617	584	361
618	585	360
619	586	359
620	587	358
621	587	357
622	588	356
623	589	354
624	589	353
625	590	352
626	590	351
627	591	350
628	592	349
629	592	348
630	593	347
631	594	345
632	594	344
633	595	343
634	595	342
635	596	341
636	597	340
637	598	339
638	598	338
639	599	337
640	600	336
641	601	335
642	601	334
643	602	333
644	603	331
645	603	330
646	604	329
647	605	328
648	605	327
649	606	326
650	606	325
651	607	324
652	608	323
653	608	322
654	609	321
655	610	319
656	610	318
657	611	317
658	612	316
659	612	315
660	613	314
661	614	313
662	615	312
663	616	311
664	616	310
665	617	309
666	617	308
667	618	307
668	619	306
669	619	305
670	620	304
671	621	303
672	621	302
673	622	301
674	623	300
675	623	298
676	624	297
677	625	296
678	625	295
679	626	294
680	627	293
681	627	292
682	628	291
683	629	290
684	630	289
685	630	288
686	631	287
687	632	286
688	632	285
689	633	284
690	634	283
691	634	282
692	635	281
693	636	280
694	636	279
695	637	278
696	638	277
697	638	276
698	639	275
699	640	274
700	640	273
701	641	272
702	641	271
703	642	270
704	643	269
705	644	268
706	645	267
707	645	266
708	646	265
709	647	264
710	647	263
711	648	262
712	649	261
713	649	260
714	650	259
715	651	258
716	651	257
717	652	256
718	652	255
719	653	254
720	654	253
721	654	252
722	655	251
723	656	250
724	656	249
725	657	248
726	658	247
727	659	246
728	660	245
729	660	244
730	661	243
731	661	242
732	662	241
733	663	240
734	663	239
735	664	238
736	665	237
737	665	236
738	666	235
739	667	234
740	667	233
741	668	232
742	668	231
743	669	230
744	670	229
745	670	228
746	671	227
747	672	226
748	672	225
749	673	224
750	674	223
751	675	222
752	675	221
753	676	220
754	677	219
755	677	218
756	678	217
757	679	216
758	680	215
759	680	214
760	681	214
761	682	213
762	682	212
763	683	211
764	684	210
765	684	209
766	685	208
767	685	207
768	686	206
769	687	205
770	688	204
771	689	203
772	689	202
773	690	201
774	691	200
775	691	199
776	692	198
777	693	197
778	693	196
779	694	195
780	695	194
781	695	193
782	696	193
783	697	192
784	697	191
785	698	190
786	698	189
787	699	188
788	700	187
789	700	186
790	701	185
791	702	184
792	703	183
793	704	182
794	704	181
795	705	180
